Timestamp,E_Active,Freq,I_2,I_neutral,ITHD2,PF_avg,Q_Total,V_1
2018-11-21 15:51:59,70.6,50.02,19.88,12.6,8.6,0.986,0.539,217.58
2018-11-21 15:52:44,71.4,50.08,21.46,12.32,16.6,0.977,-0.721,217.49
